"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID"
10087,"Paget disease of bone 6",,"An autosomal dominant form of Paget disease, a disorder of bone remodeling characterized by increased bone turnover affecting one or more sites throughout the skeleton, primarily the axial skeleton. Osteoclastic overactivity followed by compensatory osteoblastic activity leads to a structurally disorganized mosaic of bone (woven bone), which is mechanically weaker, larger, less compact, more vascular, and more susceptible to fracture than normal adult lamellar bone. PDB6 is characterized by adult onset of bone pain associated with polyostotic bone lesions primarily affecting the axial skeleton. In some cases, the pagetic tissue undergoes neoplastic transformation, resulting in osteosarcoma and, less frequently, in giant cell tumor of bone.",1,1,"MONDO:0014792"
10088,"Pain",,,74,74,
10089,"pain agnosia","An agnosia that is a loss of the ability to perceive and process pain.",,10,10,"MONDO:0000675"
10090,"Pain Disorder","A somatoform disorder that involves chronic pain in one or more areas, and is thought to be caused by psychological stress.",,26,26,
10091,"Pain in spine",,,1,1,
10092,"Pain Sensation Diminished",,,2,2,
10093,"Pain Treatment Adjunct",,,3,3,
10094,"Pain with Tension and Anxiety",,,6,6,
10095,"Pain, Burning",,,49,49,
10096,"Pain, Crushing",,,49,49,
10097,"Pain, Intractable",,,1,1,
10098,"Pain, Migratory",,,49,49,
10099,"Pain, Postoperative",,,2,2,
10100,"Pain, Splitting",,,49,49,
10101,"Painful Paresthesias",,,2,2,
10102,"palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome",,"A syndrome characterized by cleft palate, developmental delay, psychomotor retardation, and facial dysmorphic features including a prominent forehead, slightly arched eyebrows, elongated palpebral fissures, a wide nasal bridge, thin lips, and widely spaced teeth. Cleft palate is a congenital fissure of the soft and/or hard palate, due to faulty fusion.",1,1,"MONDO:0014751"
10103,"Pallister-hall syndrome",,"An autosomal dominant disorder characterized by a wide range of clinical manifestations. Clinical features include hypothalamic hamartoma, pituitary dysfunction, central or postaxial polydactyly, and syndactyly. Malformations are frequent in the viscera, e.g. anal atresia, bifid uvula, congenital heart malformations, pulmonary or renal dysplasia.",3,3,"MONDO:0007804"
10104,"Palmo-Mental Reflex",,,5,5,
10105,"PALMOPLANTAR CARCINOMA, MULTIPLE SELF-HEALING",,,1,1,
10106,"Palmoplantar Hyperkeratosis And True Hermaphroditism",,,1,1,
10107,"PALMOPLANTAR HYPERKERATOSIS WITH SQUAMOUS CELL CARCINOMA OF SKIN AND 46,XX SEX REVERSAL",,,1,1,
10108,"Palmoplantar Hyperkeratosis with Squamous Cell Carcinoma of Skin and Sex Reversal",,,1,1,
10109,"PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1",,,1,1,
10110,"palmoplantar keratoderma i, striate, focal, or diffuse",,"A dermatological disorder characterized by thickening of the skin on the palms and soles, and longitudinal hyperkeratotic lesions on the palms, running the length of each finger.",2,2,"MONDO:0007859"
10111,"palmoplantar keratoderma-deafness syndrome",,"An autosomal dominant disorder characterized by the association of palmoplantar hyperkeratosis with progressive, bilateral, high-frequency, sensorineural deafness.",1,1,"MONDO:0007852"
10112,"palmoplantar keratoderma-esophageal carcinoma syndrome",,"An autosomal dominant syndrome characterized by diffuse palmoplantar keratoderma, oral leukokeratosis, and a high lifetime risk of esophageal cancer.",1,1,"MONDO:0007856"
10113,"palmoplantar keratoderma-sclerodactyly syndrome",,,1,1,"MONDO:0008416"
10114,"palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome",,"A recessive syndrome characterized by XX (female to male) SRY-independent sex reversal, palmoplantar hyperkeratosis and predisposition to squamous cell carcinoma of the skin.",1,1,"MONDO:0012530"
10115,"palmoplantar keratoderma, Bothnian type",,"A dermatological disorder characterized by diffuse non-epidermolytic hyperkeratosis of the skin of palms and soles. PPKB is frequently complicated by fungal infections.",1,1,"MONDO:0010849"
10116,"PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC, WITH KNUCKLE PADS (disorder)",,,1,1,
10117,"palmoplantar keratoderma, Nagashima type",,"An autosomal recessive, non-syndromic, diffuse palmoplantar keratosis characterized by well-demarcated diffuse erythematous hyperkeratosis expanding onto the dorsal surfaces of the palms and feet and the Achilles tendon area. Hyperkeratosis is mild and non-progressive.",1,1,"MONDO:0014272"
10118,"Palmoplantar Keratoderma, Nonepidermolytic",,,2,2,
10119,"palmoplantar keratoderma, nonepidermolytic, focal 1",,"A dermatological disorder characterized by non-epidermolytic palmoplantar keratoderma limited to the pressure points on the balls of the feet, with later mild involvement on the palms. Oral, genital and follicular keratotic lesions are often present.",2,2,"MONDO:0013073"
10120,"palmoplantar keratoderma, punctate type 1A",,"An autosomal dominant dermatological disorder characterized by multiple hyperkeratotic, centrally indented, papules that develop in early adolescence, or later, and are irregularly distributed on the palms and soles (other palmoplantar keratoses have mostly diffuse hyperkeratinization). In mechanically irritated areas, confluent plaques can be found. Interfamilial and intrafamilial severity shows broad variation. In some cases, PPKP1 is associated with the development of early- and late-onset malignancies, including squamous cell carcinoma.",1,1,"MONDO:0007858"
10121,"palmoplantar keratosis","A keratosis characterized by abnormal thickening of the palms and the soles.",,55,49,"MONDO:0006590"
10122,"palsy",,,376,9,"MONDO:0006496"
10123,"Panacinar Emphysema",,,11,11,
10124,"Panayiotopoulos Syndrome",,,4,4,
10125,"pancreas disease",,,8933,6,"MONDO:0002356"
10126,"pancreatic adenocarcinoma","A pancreatic carcinoma that derives_from epithelial cells of glandular origin.",,3132,13,"MONDO:0006047"
10127,"pancreatic agenesis","A pancreas disease that is characterized by the failure of the pancreas to develop prior to birth.",,2,2,"MONDO:0009832"
10128,"pancreatic agenesis 1",,"A disease characterized by isolated hypoplasia or agenesis of the pancreas, pancreatic beta-cell failure resulting in neonatal insulin-dependent diabetes mellitus, and exocrine pancreatic insufficiency.",2,2,"MONDO:0024547"
10129,"pancreatic agenesis 2",,"A disease characterized by isolated hypoplasia or agenesis of the pancreas, pancreatic beta-cell failure resulting in neonatal insulin-dependent diabetes mellitus, and exocrine pancreatic insufficiency.",1,1,"MONDO:0014406"
10130,"PANCREATIC AGENESIS AND CONGENITAL HEART DEFECTS",,,1,1,
10131,"Pancreatic cancer, adult",,,1,1,
10132,"pancreatic cancer, susceptibility to, 1",,"A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue.",1,1,"MONDO:0011739"
10133,"pancreatic cancer, susceptibility to, 2",,"A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue.",1,1,"MONDO:0013235"
10134,"pancreatic cancer, susceptibility to, 3",,"A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue.",1,1,"MONDO:0013236"
10135,"pancreatic cancer, susceptibility to, 4",,"A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue.",1,1,"MONDO:0013685"
10136,"pancreatic cholera",,,3,3,"MONDO:0004058"
10137,"pancreatic colipase deficiency",,,1,1,"MONDO:0017711"
10138,"Pancreatic Diseases",,,6,6,
10139,"pancreatic ductal adenocarcinoma","A pancreatic carcinoma located_in the pancreatic duct.",,3122,3122,"MONDO:0005184"
10140,"pancreatic endocrine carcinoma",,,3,3,"MONDO:0005893"
10141,"pancreatic hypoplasia-diabetes-congenital heart disease syndrome",,"An autosomal dominant disease characterized by pancreatic severe hypoplasia or agenesis, diabetes mellitus, and congenital heart abnormalities including ventricular septal defect, patent ductus arteriosus, pulmonary artery stenosis, truncus arteriosus and tetralogy of Fallot.",1,1,"MONDO:0010802"
10142,"Pancreatic Hypoplasia, Congenital, with Diabetes Mellitus and Congenital Heart Disease",,,1,1,
10143,"pancreatic insufficiency-anemia-hyperostosis syndrome",,"Patients present with pancreatic insufficiency, intestinal malabsorption, failure to thrive, and anemia soon after birth.",1,1,"MONDO:0012992"
10144,"pancreatic insulinoma","An adenoma that is located_in the pancreas and is characterized by overproduction of insulin.",,7,7,"MONDO:0024677"
10145,"pancreatic intraductal papillary-mucinous carcinoma",,,3017,3017,"MONDO:0004285"
10146,"pancreatic intraductal papillary-mucinous neoplasm",,,4418,3325,"MONDO:0004286"
10147,"pancreatic intraductal papillary-mucinous neoplasm with low grade dysplasia",,,2987,2987,"MONDO:0004381"
10148,"PANCREATIC LIPASE DEFICIENCY",,,1,1,
10149,"pancreatic neoplasm",,,6689,93,"MONDO:0021040"
10150,"pancreatic neuroendocrine tumor",,,50,42,"MONDO:0019954"
10151,"pancreatic triacylglycerol lipase deficiency",,"An autosomal recessive disorder characterized by exocrine pancreatic failure. Clinical findings include oily/greasy stools from infancy or early childhood, absence of discernible pancreatic disease, and significantly decreased pancreatic lipolytic activity.",1,1,"MONDO:0013700"
10152,"pancreatitis",,,96,49,"MONDO:0004982"
10153,"Pancreatitis, Calcific",,,3,3,
10154,"PANCREATITIS, CHRONIC, PROTECTION AGAINST",,,3,3,
10155,"PANCREATITIS, CHRONIC, SUSCEPTIBILITY TO",,,3,3,
10156,"pancytopenia","An anemia that is characterized by a reduction in the number of red blood cells, white blood cells, and platelets.",,7,7,"MONDO:0001529"
10157,"pancytopenia due to IKZF1 mutations",,"A primary immunodeficiency characterized by antibody deficiency, hypogammaglobulinemia, recurrent bacterial infections and an inability to mount an antibody response to antigen. CVID13 is an autosomal dominant disease associated with a striking decrease in B-cell numbers.",1,1,"MONDO:0014810"
10158,"pancytopenia-developmental delay syndrome",,"An autosomal recessive disorder characterized by trilineage bone marrow failure, bone marrow hypocellularity, learning difficulties, and microcephaly. Insufficient hematopoiesis results in peripheral blood cytopenias, affecting myeloid, erythroid and megakaryocyte lines. Cutaneous features and increased chromosome breakage are not features.",4,4,"MONDO:0014317"
10159,"panhypopituitarism",,,10,10,"MONDO:0019591"
10160,"Panhypopituitarism - X-linked",,,1,1,
10161,"panhypopituitarism, X-linked",,"Affected individuals have absent infundibulum, anterior pituitary hypoplasia, and ectopic posterior pituitary.",1,1,"MONDO:0010712"
10162,"Panic Attacks",,,5,5,
10163,"panic disorder","An anxiety disorder that is characterized by unexpected and repeated episodes of intense fear accompanied by physical symptoms that may include chest pain, heart palpitations, shortness of breath, dizziness, or abdominal distress.",,16,16,"MONDO:0005383"
10164,"pantothenate kinase-associated neurodegeneration","A neurodegeneration with brain iron accumulation that has_material_basis_in autosomal recessive inheritance of mutation in the PANK2 gene on chromosome 20p13.","Autosomal recessive neurodegenerative disorder associated with iron accumulation in the brain, primarily in the basal ganglia. Clinical manifestations include progressive muscle spasticity, hyperreflexia, muscle rigidity, dystonia, dysarthria, and intellectual deterioration which progresses to severe dementia over several years. It is clinically classified into classic, atypical, and intermediate phenotypes. Classic forms present with onset in first decade, rapid progression, loss of independent ambulation within 15 years. Atypical forms have onset in second decade, slow progression, maintenance of independent ambulation up to 40 years later. Intermediate forms manifest onset in first decade with slow progression or onset in second decade with rapid progression. Patients with early onset tend to also develop pigmentary retinopathy, whereas those with later onset tend to also have speech disorders and psychiatric features. All patients have the 'eye of the tiger' sign on brain MRI.",1,1,"MONDO:0009319"
10165,"papillary adenoma",,,32,32,"MONDO:0002533"
10166,"papillary craniopharyngioma",,,2,2,"MONDO:0002788"
10167,"papillary ependymoma",,,6,6,"MONDO:0003475"
10168,"papillary meningioma",,,12,12,"MONDO:0021088"
10169,"papillary renal cell carcinoma","A renal cell carcinoma that is characterized by the development of multiple, bilateral papillary renal tumors.","A subtype of renal cell carcinoma tending to show a tubulo-papillary architecture formed by numerous, irregular, finger-like projections of connective tissue. Renal cell carcinoma is a heterogeneous group of sporadic or hereditary carcinoma derived from cells of the proximal renal tubular epithelium.",126,126,"MONDO:0017884"
10170,"Papillary renal cell carcinoma, familial",,,1,1,
10171,"papilloma","A cell type benign neoplam that is composed of epithelial tissue on papillae of vascularized connective tissue.",,13,12,"MONDO:0002363"
10172,"papillomatosis",,,12,12,"MONDO:0021098"
10173,"Papillomavirus Infections",,,3,3,
10174,"Papillon-Lefevre disease",,"An autosomal recessive disorder characterized by palmoplantar keratosis and severe periodontitis affecting deciduous and permanent dentitions and resulting in premature tooth loss. The palmoplantar keratotic phenotype vary from mild psoriasiform scaly skin to overt hyperkeratosis. Keratosis also affects other sites such as elbows and knees.",1,1,"MONDO:0009490"
10175,"paracoccidioidomycosis","A primary systemic mycosis that results_in systemic fungal infection located_in mucosa, located_in lymph nodes, located_in bone, located_in skin or located_in lungs, has_material_basis_in Paracoccidioides brasiliensis.",,4,4,"MONDO:0005894"
10176,"Paracousis",,,3,3,
10177,"paraganglioma","A pheochromocytoma that arises in extraadrenal sympathetic ganglia.",,22,12,"MONDO:0000448"
10178,"paragangliomas 1",,"A neural crest tumor usually derived from the chromoreceptor tissue of a paraganglion. PGL1 is a rare autosomal dominant disorder which is characterized by the development of mostly benign, highly vascular, slowly growing tumors in the head and neck. In the head and neck region, the carotid body is the largest of all paraganglia and is also the most common site of the tumors.",1,1,"MONDO:0008192"
10179,"paragangliomas 2",,"A neural crest tumor usually derived from the chromoreceptor tissue of a paraganglion. Paragangliomas can develop at various body sites, including the head, neck, thorax and abdomen. Most commonly, they are located in the head and neck region, specifically at the carotid bifurcation, the jugular foramen, the vagal nerve, and in the middle ear.",1,1,"MONDO:0011121"
10180,"PARAGANGLIOMAS 2 (disorder)",,,1,1,
10181,"paragangliomas 3",,"A neural crest tumor usually derived from the chromoreceptor tissue of a paraganglion. Paragangliomas can develop at various body sites, including the head, neck, thorax and abdomen. Most commonly, they are located in the head and neck region, specifically at the carotid bifurcation, the jugular foramen, the vagal nerve, and in the middle ear.",1,1,"MONDO:0011544"
10182,"paragangliomas 4",,"A neural crest tumor usually derived from the chromoreceptor tissue of a paraganglion. Paragangliomas can develop at various body sites, including the head, neck, thorax and abdomen. Most commonly, they are located in the head and neck region, specifically at the carotid bifurcation, the jugular foramen, the vagal nerve, and in the middle ear.",2,2,"MONDO:0007273"
10183,"paragangliomas 5",,"A neural crest tumor usually derived from the chromoreceptor tissue of a paraganglion. Paragangliomas can develop at various body sites, including the head, neck, thorax and abdomen. Most commonly, they are located in the head and neck region, specifically at the carotid bifurcation, the jugular foramen, the vagal nerve, and in the middle ear.",1,1,"MONDO:0013602"
10184,"Paragangliomas with Sensorineural Hearing Loss",,,1,1,
10185,"Parakeratosis Variegata",,,22,22,
10186,"Paralysed",,,9,9,
10187,"Paralysis, Spinal, Quadriplegic",,,1,1,
10188,"paralytic ileus",,,1,1,"MONDO:0004568"
10189,"Paramyotonia Congenita (disorder)",,,1,1,
10190,"paramyotonia congenita of Von Eulenburg",,"An autosomal dominant channelopathy characterized by myotonia, increased by exposure to cold, intermittent flaccid paresis, not necessarily dependent on cold or myotonia, lability of serum potassium, non-progressive nature and lack of atrophy or hypertrophy of muscles. In some patients, myotonia is not increased by cold exposure (paramyotonia without cold paralysis). Patients may have a combination phenotype of PMC and HYPP.",1,1,"MONDO:0008195"
10191,"Paramyotonia Congenita Without Cold Paralysis",,,1,1,
10192,"Paraneoplastic hyponatremia",,,1,1,
10193,"Paraneoplastic Opsoclonus-Myoclonus Ataxia",,,1,1,
10194,"paraneoplastic syndrome",,,50,1,"MONDO:0021073"
10195,"Paranoia",,,31,31,
10196,"Paranoid delusion",,,1,1,
10197,"Paranoid Disorders",,,8,8,
10198,"paranoid schizophrenia","A schizophrenia characterized by delusions or auditory hallucinations of persecution or being plotted against without thought disorder, disorganized behavior, or affective flattening.",,37,37,"MONDO:0001484"
10199,"Paraparesis, Spastic",,,1,1,
10200,"paraplegia",,,334,56,"MONDO:0003757"
10201,"Paraplegia, Ataxic",,,1,1,
10202,"Paraplegia, Cerebral",,,1,1,
10203,"Paraplegia, Flaccid",,,1,1,
10204,"Paraplegia, Spinal",,,1,1,
10205,"parapsoriasis",,,22,22,"MONDO:0006592"
10206,"Parapsoriasis en Plaques",,,22,22,
10207,"Paraquat lung",,,2,2,
10208,"parasagittal meningioma",,,12,12,"MONDO:0004022"
10209,"parastremmatic dwarfism",,"A bone dysplasia characterized by severe dwarfism, kyphoscoliosis, distortion and bowing of the extremities, and contractures of the large joints. Radiographically, the disease is characterized by a combination of decreased bone density, bowing of the long bones, platyspondyly and striking irregularities of endochondral ossification with areas of calcific stippling and streaking in radiolucent epiphyses, metaphyses and apophyses.",1,1,"MONDO:0008196"
10210,"Parathyroid Adenomatosis, Familial Cystic",,,1,1,
10211,"Parathyroid Carcinoma with Hypercalcemia",,,1,1,
10212,"Parathyroid Gland Adenocarcinoma",,,7,7,
10213,"parathyroid gland adenoma","A parathyroid gland benign neoplam that is located_in the parathyroid.",,4,4,"MONDO:0006890"
10214,"parathyroid gland carcinoma","An endocrine gland cancer located_in the parathyroid glands located in the neck.","These cancers characteristically result in more profound clinical manifestations of hyperparathyroidism than do parathyroid adenomas, the most frequent cause of primary hyperparathyroidism. Early en bloc resection of the primary tumor is the only curative treatment.",1,1,"MONDO:0012004"
10215,"Parathyroid Neoplasms",,,2,2,
10216,"paratuberculosis",,,6,6,"MONDO:0025449"
10217,"Paresis",,,2,2,
10218,"Paresthesia",,,2,2,
10219,"Paresthesia, Distal",,,2,2,
10220,"parietal foramina","An inherited neural tube defect that is characterized by enlarged openings in the parietal bones of the skull, has_material_basis_in mutation in the ALX4 gene or MSX2 gene.",,2,2,"MONDO:0018953"
10221,"parietal foramina 1",,"Autosomal dominant disease characterized by oval defects of the parietal bones caused by deficient ossification around the parietal notch, which is normally obliterated during the fifth fetal month.",2,2,"MONDO:0008197"
10222,"parietal foramina 2",,"Autosomal dominant disease characterized by oval defects of the parietal bones caused by deficient ossification around the parietal notch, which is normally obliterated during the fifth fetal month. PFM2 is also a clinical feature of Potocki-Shaffer syndrome.",1,1,"MONDO:0012309"
10223,"parietal foramina with cleidocranial dysplasia",,"Combines skull defects in the form of enlarged parietal foramina and deficient ossification of the clavicles.",1,1,"MONDO:0008198"
10224,"Parietal Region Trauma",,,1,1,
10225,"Paris-Trousseau thrombocytopenia",,,1,1,"MONDO:0008557"
10226,"Parkes Weber syndrome",,"Disorder characterized by a cutaneous flush with underlying multiple micro-arteriovenous fistulas, in association with soft tissue and skeletal hypertrophy of the affected limb.",1,1,"MONDO:0012017"
10227,"Parkinson disease","A synucleinopathy that has_material_basis_in degeneration of the central nervous system that often impairs motor skills, speech, and other functions.","A complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability. Additional features are characteristic postural abnormalities, dysautonomia, dystonic cramps, and dementia. The pathology of Parkinson disease involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. The disease is progressive and usually manifests after the age of 50 years, although early-onset cases (before 50 years) are known. The majority of the cases are sporadic suggesting a multifactorial etiology based on environmental and genetic factors. However, some patients present with a positive family history for the disease. Familial forms of the disease usually begin at earlier ages and are associated with atypical clinical features.",450,437,"MONDO:0005180"
10228,"PARKINSON DISEASE 1, AUTOSOMAL DOMINANT (disorder)",,,1,1,
10229,"Parkinson disease 11, autosomal dominant, susceptibility to",,"A complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain.",1,1,"MONDO:0011896"
10230,"Parkinson disease 13, autosomal dominant, susceptibility to",,"A complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain.",1,1,"MONDO:0012466"
10231,"Parkinson disease 17","A late-onset Parkinson disease that has_material_basis_in heterozygous mutation in the VPS35 gene on chromosome 16q13.","An autosomal dominant, adult-onset form of Parkinson disease. Parkinson disease is a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain.",1,1,"MONDO:0013625"
10232,"Parkinson disease 18, autosomal dominant, susceptibility to",,"An autosomal dominant, late-onset form of Parkinson disease. Parkinson disease is a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain.",1,1,"MONDO:0013653"
10233,"PARKINSON DISEASE 19B, EARLY-ONSET",,,1,1,
10234,"Parkinson disease 21",,,1,1,"MONDO:0014604"
10235,"Parkinson disease 22, autosomal dominant",,"An autosomal dominant form of Parkinson disease, a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain.",1,1,"MONDO:0014742"
10236,"Parkinson disease 5, autosomal dominant, susceptibility to",,"A complex neurodegenerative disorder with manifestations ranging from typical Parkinson disease to dementia with Lewy bodies. Clinical features include parkinsonian symptoms (resting tremor, rigidity, postural instability and bradykinesia), dementia, diffuse Lewy body pathology, autonomic dysfunction, hallucinations and paranoia.",1,1,"MONDO:0013340"
10237,"Parkinson Disease 6, Autosomal Recessive Early-Onset",,,1,1,
10238,"PARKINSON DISEASE 6, LATE-ONSET, SUSCEPTIBILITY TO",,,1,1,
10239,"Parkinson Disease, Secondary Vascular",,,9,9,
10240,"parkinsonian disorder",,,452,28,"MONDO:0021095"
10241,"Parkinsonian Disorders",,,27,27,
10242,"parkinsonian-pyramidal syndrome","A Parkinson's disease that has_material_basis_in mutation in the FBXO7 gene on chromosome 22q12.3.","A neurodegenerative disorder characterized by parkinsonian and pyramidal signs. Clinical manifestations include tremor, bradykinesia, rigidity, postural instability, spasticity, mainly in the lower limbs, and hyperreflexia.",2,2,"MONDO:0009830"
10243,"Parkinsonism",,,19,19,
10244,"parkinsonism-dystonia, infantile",,,2,1,"MONDO:0013150"
10245,"parkinsonism-dystonia, infantile, 1",,"A neurodegenerative disorder characterized by infantile onset of parkinsonism and dystonia. Other neurologic features include global developmental delay, bradykinesia and pyramidal tract signs.",1,1,"MONDO:0054835"
10246,"parkinsonism-dystonia, infantile, 2",,"An autosomal recessive disorder characterized by infantile onset of abnormal movements, including parkinsonism, dystonia, and poor fine motor skills, as well as autonomic dysfunction, including abnormal sweating, cold extremities, and poor sleep. Some patients have variable degrees of developmental delay.",1,1,"MONDO:0054836"
10247,"Parkinsonism, Experimental",,,27,27,
10248,"Parkinsonism, Juvenile",,,27,27,
10249,"Paroxysmal atrial fibrillation",,,33,33,
10250,"Paroxysmal atrial flutter",,,2,2,
10251,"paroxysmal extreme pain disorder",,"Autosomal dominant paroxysmal disorder of pain and autonomic dysfunction. The distinctive features are paroxysmal episodes of burning pain in the rectal, ocular, and mandibular areas accompanied by autonomic manifestations such as skin flushing.",3,3,"MONDO:0008179"
10252,"paroxysmal familial ventricular fibrillation",,,6,5,"MONDO:0100234"
10253,"Paroxysmal hypertension",,,6,6,
10254,"Paroxysmal kinesigenic choreoathetosis",,,2,2,
10255,"Paroxysmal Nerve Pain",,,15,15,
10256,"paroxysmal nocturnal hemoglobinuria 1",,"A disorder characterized by hemolytic anemia with hemoglobinuria, thromboses in large vessels, and a deficiency in hematopoiesis. Red blood cell breakdown with release of hemoglobin into the urine is manifested most prominently by dark-colored urine in the morning.",1,1,"MONDO:0010438"
10257,"paroxysmal nocturnal hemoglobinuria 2",,"A disorder characterized by hemolytic anemia with hemoglobinuria, thromboses in large vessels, and a deficiency in hematopoiesis. Red blood cell breakdown with release of hemoglobin into the urine is manifested most prominently by dark-colored urine in the morning.",1,1,"MONDO:0014166"
10258,"paroxysmal nonkinesigenic dyskinesia",,,2,2,"MONDO:0700088"
10259,"paroxysmal nonkinesigenic dyskinesia 1",,"A paroxysmal non-kinesigenic dystonia/dyskinesia. Dystonia is defined by the presence of sustained involuntary muscle contractions, often leading to abnormal postures. Dystonia type 8 is characterized by attacks of involuntary movements brought on by stress, alcohol, fatigue or caffeine. The attacks generally last between a few seconds and four hours or longer. The attacks may begin in one limb and spread throughout the body, including the face.",2,2,"MONDO:0700089"
10260,"Paroxysmal supraventricular tachycardia",,,12,12,
10261,"Paroxysmal ventricular fibrillation",,,2,2,
10262,"Partial adenosine deaminase deficiency",,,1,1,
10263,"partial androgen insensitivity syndrome",,"A disorder that is characterized by hypospadias, hypogonadism, gynecomastia, genital ambiguity, normal XY karyotype, and a pedigree pattern consistent with X-linked recessive inheritance. Some patients present azoospermia or severe oligospermia without other clinical manifestations.",1,1,"MONDO:0010720"
10264,"Partial androgen resistance",,,1,1,
10265,"partial atrioventricular canal",,,4,4,"MONDO:0015275"
10266,"partial central choroid dystrophy",,,1,1,"MONDO:0004890"
10267,"Partial Central Diabetes Insipidus",,,3,3,
10268,"partial chromosome Y deletion",,,17,8,"MONDO:0015607"
10269,"partial epilepsy","An epilepsy syndrome that is characterised by seizures that are preceded by an isolated disturbance of a cerebral function and arise from an epileptic focus, a small portion of the brain that serves as the irritant driving the epileptic response.",,73,25,"MONDO:0005384"
10270,"Partial Epilepsy Treatment Adjunct",,,16,16,
10271,"partial fetal alcohol syndrome",,,3,3,"MONDO:0000393"
10272,"partial hydatidiform mole",,,2,2,"MONDO:0016786"
10273,"partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome",,"A form of familial partial lipodystrophy associated with congenital cataracts and neurodegeneration leading to cerebellar and spinal cord dysfunction.",1,1,"MONDO:0011714"
10274,"Partial Monosomy",,,3,3,
10275,"Partial Trisomy",,,2,2,
10276,"Partington syndrome","A syndrome characterized by intellectual disability, focal dystonia of the hands and dysarthria.","Characterized by mental retardation, episodic dystonic hand movements, and dysarthria.",1,1,"MONDO:0010654"
10277,"Partington X-linked mental retardation syndrome",,,2,2,
10278,"Passive Tremor",,,9,9,
10279,"Pasteurellaceae Infections",,,3,3,
10280,"Patella aplasia, coxa vara, tarsal synostosis",,,1,1,
10281,"patent ductus arteriosus",,,12,12,"MONDO:0011827"
10282,"patent ductus arteriosus 2",,"A congenital heart defect characterized by the persistent opening of fetal ductus arteriosus that fails to close after birth. Fetal ductus arteriosus connects the pulmonary artery to the descending aorta, allowing unoxygenated blood to bypass the lung and flow to the placenta. Normally, the ductus occludes shortly after birth.",1,1,"MONDO:0014878"
10283,"patent ductus arteriosus 3",,"A congenital heart defect characterized by the persistent opening of fetal ductus arteriosus that fails to close after birth. Fetal ductus arteriosus connects the pulmonary artery to the descending aorta, allowing unoxygenated blood to bypass the lung and flow to the placenta. Normally, the ductus occludes shortly after birth.",1,1,"MONDO:0024266"
10284,"Patent Ductus Arteriosus Familial",,,6,6,
10285,"paternal uniparental disomy of chromosome 14",,,3,3,"MONDO:0011975"
10286,"Pathologic Neovascularization",,,6,6,
10287,"pathologic nystagmus",,,5,1,"MONDO:0004843"
10288,"Pathological accumulation of air in tissues",,,12,12,
10289,"pathological gambling","An impulse control disorder that involves the uncontrollable impulse to gamble, irrespective of the interference the behaviour has on the individual's life.",,1,1,"MONDO:0011662"
10290,"Pathological Gastric Hypersecretory Condition",,,2,2,
