drugName,cIds,drugNameOfficial,molecularWeight,smilesString
Sophocarpine,CIDs00115269,sophocarpine,246.34798,C1CC2CN3C(CC=CC3=O)C4C2N(C1)CCC4
Cyproheptadine hydrochloride,CIDs00013770,#N/A,0,#N/A
Diphenhydramine hydrochloride,CIDs00008980,#N/A,0,#N/A
Ketotifen,CIDs00003827,ketotifen,309.42526,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1
Clemizole hydrochloride,CIDs05309446,#N/A,0,#N/A
Histamine dihydrochloride,CIDs00005818,#N/A,0,#N/A
BMS-378806,CIDs05495818,BMS-378806,406.43448,CC1CN(CCN1C(=O)C(=O)C2=CNC3=NC=CC(=C23)OC)C(=O)C4=CC=CC=C4
Raltegravir,CIDs54671008,#N/A,0,#N/A
Nelfinavir,CIDs00064142,nelfinavir,663.88806,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O.CS(=O)(=O)O
Elvitegravir,CIDs05277135,elvitegravir,447.883823,CC(C)C(CO)N1C=C(C(=O)C2=CC(=C(C=C21)OC)CC3=C(C(=CC=C3)Cl)F)C(=O)O
CPI-203,CIDs71291068,CPI-203,399.89712,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)N)C4=CC=C(C=C4)Cl)C
Atiprimod,CIDs00129869,Atiprimod,336.59816,CCCC1(CCC2(CC1)CCN(C2)CCCN(CC)CC)CCC
Moxonidine hydrochloride hydrate,CIDs06917782,#N/A,0,#N/A
Rilmenidine,CIDs00068712,rilmenidine,180.24684,C1CC1C(C2CC2)NC3=NCCO3
Laquinimod,CIDs54677946,#N/A,0,#N/A
Cyclosporine A,CIDs05284373,ciclosporin A,1202.61124,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
Triptonide,CIDs00065411,triptonide,358.38508,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2=O)O7)COC6=O)C
Repaglinide,CIDs00065981,repaglinide,452.58574,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
Nateglinide,CIDs05311309,nateglinide,317.42258,CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O
TAK-875,CIDs24857286,fasiglifam,524.62518,CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCS(=O)(=O)C
Mitiglinide calcium,CIDs05478927,#N/A,0,#N/A
BGP-15,CIDs09817104,BGP-15,278.35008,C1CCN(CC1)CC(CON=C(C2=CN=CC=C2)N)O
RUC-4,CIDs71668132,AGN-PC-0JILBQ,386.43152,C1CN(CCN1)C2=CC(=O)N3C(=N2)SC(=N3)C4=CC(=CN=C4)NC(=O)CN
Cilengitide,CIDs00176873,cilengitide,588.6559,CC(C)C1C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N1C)CC2=CC=CC=C2)CC(=O)O)CCCN=C(N)N
ATN-161,CIDs09960285,ATN-161,597.6445,CC(=O)N1CCCC1C(=O)NC(CC2=CN=CN2)C(=O)NC(CO)C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)N
E-7820,CIDs00196970,E7820,336.36778,CC1=C2C(=CNC2=C(C=C1)NS(=O)(=O)C3=CC=CC(=C3)C#N)C#N
GLPG0187,CIDs53340771,SCHEMBL2372722,595.71298,CC1=C(N=C(N=C1NCC(C(=O)O)NS(=O)(=O)C2=CC=C(C=C2)OC)C)N3CCC(CC3)C4=NC5=C(CCCN5)C=C4
GLPG-0187,CIDs53340771,SCHEMBL2372722,595.71298,CC1=C(N=C(N=C1NCC(C(=O)O)NS(=O)(=O)C2=CC=C(C=C2)OC)C)N3CCC(CC3)C4=NC5=C(CCCN5)C=C4
Vadimezan,CIDs00123964,"5,6-dimethylxanthenone-4-acetic acid (DMXAA",282.29066,CC1=C(C2=C(C=C1)C(=O)C3=C(O2)C(=CC=C3)CC(=O)O)C
Cridanimod,CIDs00038072,cycloferon,253.25274,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2CC(=O)O
PF-06650833,CIDs118414016,#N/A,0,#N/A
TRAM-34,CIDs00656734,TRAM-34,344.83678,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CC=N4
Minoxidil,CIDs00004201,minoxidil,209.2483,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
Nicorandil,CIDs00047528,nicorandil,211.17476,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-]
Levosimendan,CIDs03033825,levosimendan,280.28468,CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N
Glipizide,CIDs00003478,glipizide,445.53518,CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
Linopirdine,CIDs00003932,linopirdine,391.46444,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5
Glimepiride,CIDs00003476,glimepiride,490.61556,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
Gliclazide,CIDs00003475,gliclazide,323.41054,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
Nifekalant,CIDs00004486,nifekalant,405.44818,CN1C(=CC(=O)N(C1=O)C)NCCN(CCCC2=CC=C(C=C2)[N+](=O)[O-])CCO
Ibutilide fumarate,CIDs05281065,#N/A,0,#N/A
Dofetilide,CIDs00071329,dofetilide,441.56478,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
Retigabine,CIDs00121892,retigabine,303.331423,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N
Flupirtine maleate,CIDs00053275,flupirtine,420.391643,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N.C(=CC(=O)O)C(=O)O
Telithromycin,CIDs03002190,telithromycin,812.0037,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C
Hesperetin,CIDs00072281,hesperetin,302.27876,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
Daptomycin,CIDs16134395,daptomycin,1620.67064,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
Malotilate,CIDs00004006,malotilate,288.38304,CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C
SR-9243,CIDs76073169,SCHEMBL15773799,626.62408,CC1=CC(=C(C(=C1)C)S(=O)(=O)N(CCC2=CC(=CC=C2)Br)CC3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C
Bumetanide,CIDs00002471,bumetanide,364.4161,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
Niguldipine,CIDs00001236,niguldipine,609.71136,CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC
Puerarin,CIDs05281807,puerarin,416.3781,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O
Pregabalin,CIDs05486971,pregabalin,159.22608,CC(C)CC(CC(=O)O)CN
Diltiazem hydrochloride,CIDs00062920,#N/A,0,#N/A
BMS-986020,CIDs49792850,SCHEMBL344742,482.52714,CC1=NOC(=C1NC(=O)OC(C)C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5(CC5)C(=O)O
Amiselimod hydrochloride,CIDs67418070,#N/A,0,#N/A
KI-16425,CIDs10367662,Debio 0719,474.95712,CC1=NOC(=C1NC(=O)OC(C)C2=CC=CC=C2Cl)C3=CC=C(C=C3)CSCCC(=O)O
BAF-312,CIDs44599207,siponimod,516.59501,CCC1=C(C=CC(=C1)C(=NOCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)C)CN4CC(C4)C(=O)O
Atropine,CIDs00174174,atropine,289.36942,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
Irsogladine maleate,CIDs05282435,#N/A,0,#N/A
KUC110948N,CIDs56846691,ml369,320.385,C1CN(CCC1C2=CC(=C(C=C2)O)O)C3=CC=NC4=CC=CC=C43
Rimantadine,CIDs00005071,rimantadine,179.30184,CC(C12CC3CC(C1)CC(C3)C2)N
Amphotericin B,CIDs05280965,amphotericin B,924.07902,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
Phenelzine,CIDs00003675,phenelzine,136.19428,C1=CC=C(C=C1)CCNN
4-Methylumbelliferone,CIDs05280567,#N/A,0,#N/A
Piperine,CIDs00638024,piperine,285.33766,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3
Selegiline hydrochloride,CIDs00026758,#N/A,0,#N/A
Rasagiline mesylate,CIDs03052775,rasagiline,267.34398,CS(=O)(=O)O.C#CCNC1CCC2=CC=CC=C12
Sodium cromoglycate,CIDs00027503,#N/A,0,#N/A
Amlexanox,CIDs00002161,amlexanox,298.29336,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
Suplatast tosylate,CIDs00071773,suplatast tosilate,499.64062,CCOCC(COC1=CC=C(C=C1)NC(=O)CC[S+](C)C)O.CC1=CC=C(C=C1)S(=O)(=O)[O-]
Acitazanolast,CIDs00002006,acitazanolast hydrate,233.18358,C1=CC(=CC(=C1)NC(=O)C(=O)O)C2=NNN=N2
Olopatadine hydrochloride,CIDs00060864,AC1L1U2R,373.87316,CN(C)CCC=C1C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O.Cl
Orotic acid,CIDs00000967,orotic acid,156.09626,C1=C(NC(=O)NC1=O)C(=O)O
Scopine,CIDs01274465,scopine,155.19432,CN1C2CC(CC1C3C2O3)O
JNJ-16259685,CIDs11313361,JNJ-16259685,325.40152,COC1CCC(CC1)C(=O)C2=CC3=CC4=C(N=C3C=C2)OCCC4
LY-2140023,CIDs25195354,pomaglumetad methionil,366.41052,CSCCC(C(=O)NC1(CS(=O)(=O)C2C1C2C(=O)O)C(=O)O)N
VU0357121,CIDs02296132,VU 0357121,305.319186,CCCCOC1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)F)F
ADX-47273,CIDs11383075,ADX-47273,369.364686,C1CC(CN(C1)C(=O)C2=CC=C(C=C2)F)C3=NC(=NO3)C4=CC=C(C=C4)F
LY-341495,CIDs09819927,LY-341495,353.36856,C1C(C1C(CC2C3=CC=CC=C3OC4=CC=CC=C24)(C(=O)O)N)C(=O)O
KUC111774N,CIDs12387471,ML329,328.34248,C1=CC=C2C(=C1)C(=O)C=C(C2=O)NC3=CC=C(C=C3)S(=O)(=O)N
PF-4693627,CIDs53252516,PF-4693627,502.43276,C1CC(CC(C1)NC(=O)C2CCN(CC2)C3=NC4=C(O3)C=C(C(=C4)Cl)C5=CC=C(C=C5)Cl)CO
Eplerenone,CIDs00443872,eplerenone,414.4914,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC
Dofequidar,CIDs00213040,dofequidar,481.58544,C1CN(CCN1CC(COC2=CC=CC3=C2C=CC=N3)O)C(=O)C(C4=CC=CC=C4)C5=CC=CC=C5
SCH-51344,CIDs09995890,CTK8F1298,316.355,CC1=C2C(=C3C=C(C=CC3=NC2=NN1)OC)NCCOCCO
Chlorhexidine,CIDs09552079,chlorhexidine,505.4466,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
Sipatrigine,CIDs00060803,sipatrigine,372.68004,CN1CCN(CC1)C2=NC=C(C(=N2)N)C3=CC(=CC(=C3Cl)Cl)Cl
A-803467,CIDs16038374,A-803467,357.78764,COC1=CC(=CC(=C1)NC(=O)C2=CC=C(O2)C3=CC=C(C=C3)Cl)OC
Racecadotril,CIDs00107751,racecadotril,385.47662,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2
Oseltamivir phosphate,CIDs00078000,#N/A,0,#N/A
Cisatracurium besylate,CIDs00062886,cisatracurium,1243.47918,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-]
Dopamine hydrochloride,CIDs00065340,#N/A,0,#N/A
AZD9668,CIDs46861623,#N/A,0,#N/A
Acipimox,CIDs05310993,acipimox,154.12344,CC1=CN=C(C=[N+]1[O-])C(=O)O
Varenicline tartrate,CIDs09906942,#N/A,0,#N/A
PNU-282987,CIDs09795278,ISIS 25302,264.75058,C1CN2CCC1C(C2)NC(=O)C3=CC=C(C=C3)Cl
PNU-120596,CIDs00311434,PNU-120596,311.72096,CC1=CC(=NO1)NC(=O)NC2=CC(=C(C=C2OC)OC)Cl
Fluphenazine hydrochloride,CIDs00067356,#N/A,0,#N/A
L-tetramisol,CIDs00027944,#N/A,0,#N/A
Betaine,CIDs00000247,betaine,117.14634,C[N+](C)(C)CC(=O)[O-]
NSC-724771,CIDs09572720,NSC-724771,384.30154,CCOC(=O)N1CCN(CC1)[N+](=NOC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])[O-]
PA-824,CIDs00456199,pretomanid,359.25739,C1C(COC2=NC(=CN21)[N+](=O)[O-])OCC3=CC=C(C=C3)OC(F)(F)F
Asiatic acid,CIDs00119034,asiatic acid,488.69912,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O
L-NAME,CIDs00039836,l-NAME,233.2251,COC(=O)C(CCCN=C(N)N[N+](=O)[O-])N
Memantine hydrochloride,CIDs00181458,#N/A,0,#N/A
Lacosamide,CIDs00219078,lacosamide,250.29362,CC(=O)NC(COC)C(=O)NCC1=CC=CC=C1
D-Cycloserine,CIDs00006234,cycloserine,102.09194,C1C(C(=O)NO1)N
Apigenin,CIDs05280443,apigenin,270.2369,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
ACAMPROSATE CALCIUM,CIDs00155434,#N/A,0,#N/A
Dexanabinol,CIDs00107778,dexanabinol,386.56742,CCCCCCC(C)(C)C1=CC2=C(C3CC(=CCC3C(O2)(C)C)CO)C(=C1)O
Aniracetam,CIDs00002196,aniracetam,219.23652,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
Cebranopadol,CIDs11848225,cebranopadol,378.482383,CN(C)C1(CCC2(CC1)C3=C(CCO2)C4=C(N3)C=CC(=C4)F)C5=CC=CC=C5
Ketoprofen,CIDs00003825,ketoprofen,254.28056,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O
Bufexamac,CIDs00002466,bufexamac,223.26828,CCCCOC1=CC=C(C=C1)CC(=O)NO
Tenoxicam,CIDs54677971,#N/A,0,#N/A
Flurbiprofen,CIDs00003394,flurbiprofen,244.260923,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
Ketorolac,CIDs00003826,ketorolac,255.26862,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
Lornoxicam,CIDs54690031,lornoxicam,371.8192,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3
Bindarit,CIDs00071354,bindarit,324.3737,CC(C)(C(=O)O)OCC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3
Maprotiline hydrochloride,CIDs00071478,#N/A,0,#N/A
Metenkephalin,CIDs00443363,methionine-enkephalin,573.6611,CSCCC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)N
Mannitol,CIDs00006251,mannitol,182.17176,C(C(C(C(C(CO)O)O)O)O)O
Polymyxin B sulphate,CIDs00004868,polymyxin B sulphate,1203.47672,CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)C(C)O
Bacitracin (Zinc),CIDs78358334,CS-2268,1486.05744,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)[O-])CC3=CN=CN3)CC4=CC=CC=C4.[Zn+2]
Metarrestin (KUC109088N),CIDs50985821,ML246,474.5961,C1CC(CCC1N2C=NC3=C(C2=N)C(=C(N3CC4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6)O
Omacetaxine mepesuccinate,CIDs00285033,homoharringtonine,545.62126,CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O
Reserpine,CIDs00005770,reserpine,608.6787,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
Secoisolariciresinol,CIDs00065373,secoisolariciresinol,362.41684,COC1=C(C=CC(=C1)CC(CO)C(CC2=CC(=C(C=C2)O)OC)CO)O
Octocrylene,CIDs00022571,octocrylene,361.47668,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N
Verteporfin,CIDs05362420,Visudyne,718.79418,CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C6(C(C(=CC=C6C(=N5)C=C1N2)C(=O)OC)C(=O)OC)C)C)CCC(=O)OC)C(=C3C)CCC(=O)O)C=C
Trioxsalen,CIDs00005585,antipsoriatic,228.24328,CC1=CC(=O)OC2=C1C=C3C=C(OC3=C2C)C
Daidzin,CIDs00107971,daidzin,416.3781,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O
Fomepizole,CIDs00003406,4-methylpyrazole,82.10384,CC1=CNN=C1
Disulfiram,CIDs00003117,disulfiram,296.5392,CCN(CC)C(=S)SSC(=S)N(CC)CC
Shikimic acid,CIDs00008742,shikimic acid,174.1513,C1C(C(C(C=C1C(=O)O)O)O)O
Kinetin,CIDs00003830,cytokinin,215.21136,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
3-indolebutyric acid,CIDs00008617,indole-3-butyric acid (IBA,203.23712,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O
Tranexamic Acid,CIDs00005526,tranexamic acid,157.2102,C1CC(CCC1CN)C(=O)O
Aminocaproic acid,CIDs00000564,EACA,131.17292,C(CCC(=O)O)CCN
TM-5275,CIDs101501484,#N/A,0,#N/A
Propafenone hydrochloride,CIDs00036708,#N/A,0,#N/A
UK-383367,CIDs09818682,UK-383367,324.37546,C1CCC(CC1)CCCC(CC(=O)NO)C2=NC(=NO2)C(=O)N
Pentamidine isethionate,CIDs00008813,diamidine,592.68274,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O
Berberine,CIDs00002353,berberine,336.36122,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
Alendronate (Fosamax),CIDs23681107,#N/A,0,#N/A
GSK-2830371,CIDs70983932,CS-2126,461.01996,CC1=NC=C(C=C1NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4)Cl
EMPM,CIDs03578572,LB-100,268.3089,CN1CCN(CC1)C(=O)C2C3CCC(C2C(=O)O)O3
NSC-87877,CIDs00092577,#N/A,0,#N/A
SHP-099,CIDs118238298,#N/A,0,#N/A
ML-119,CIDs01357397,ML119,468.2801,C1=CC=C(C(=C1)C2=CC=C(O2)C=C3C(=O)N4C5=NC=C(C=C5N=C4S3)Br)C(=O)O
Lomefloxacin hydrochloride,CIDs00068624,#N/A,0,#N/A
KUC103669N,CIDs01067700,ML282,390.47652,CC1(CC2=C(CO1)SC(=C2C(=O)O)NC(=S)NC(=O)C3=CC=CC=C3)C
Geniposidic acid,CIDs00443354,geniposidic acid,374.33988,C1C=C(C2C1C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)O)CO
RRx-001,CIDs15950826,Z-3127,268.02224,C1C(CN1C(=O)CBr)([N+](=O)[O-])[N+](=O)[O-]
Nimorazole,CIDs00023009,nimorazole,226.23246,C1COCCN1CCN2C=NC=C2[N+](=O)[O-]
Efaproxiral,CIDs00122335,efaproxiral,341.40092,CC1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)OC(C)(C)C(=O)O)C
HMSL10088,CIDs68234129,AGN-PC-0HSSYL,360.4091,C1CC1C(=O)NC2=NNC3=C2C=CC(=C3)C4=CC(=CC=C4)C(=O)NC5CC5
20-hydroxyecdysone,CIDs05459840,20-hydroxyecdysone,480.63406,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O
STF-62247,CIDs00704473,STF-62247,267.34882,CC1=CC(=CC=C1)NC2=NC(=CS2)C3=CC=NC=C3
Aliskiren hemifumarate,CIDs06918427,#N/A,0,#N/A
SR-9011,CIDs57394021,SR9011,479.03524,CCCCCNC(=O)N1CCC(C1)CN(CC2=CC=C(C=C2)Cl)CC3=CC=C(S3)[N+](=O)[O-]
Lamivudine,CIDs00060825,lamivudine,229.25624,C1C(OC(S1)CO)N2C=CC(=NC2=O)N
LDN-57444,CIDs16760696,UCH-L1 inhibitor,397.63984,CC(=O)ON=C1C2=C(C=CC(=C2)Cl)N(C1=O)CC3=C(C=CC(=C3)Cl)Cl
CX-5461,CIDs25257557,CX-5461,513.61398,CC1=CN=C(C=N1)CNC(=O)C2=C3N(C4=CC=CC=C4S3)C5=C(C2=O)C=CC(=N5)N6CCCN(CC6)C
Lurbinectedin,CIDs57327016,lurbinectedin,784.87386,CC1=C(C(=C2C3C4C5C6=C(C(N4C(C(N3C)CC2=C1)O)COC(=O)C7(CS5)C8=C(CCN7)C9=C(N8)C=CC(=C9)OC)C1=C(C(=C6OC(=O)C)C)OCO1)O)OC
Favipiravir,CIDs00492405,favipiravir,157.102563,C1=C(N=C(C(=O)N1)C(=O)N)F
Sofosbuvir,CIDs45375808,sofosbuvir,529.452525,CC(C)OC(=O)C(C)NP(=O)(OCC1C(C(C(O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3
Nesbuvir,CIDs11561383,nesbuvir,446.491823,CNC(=O)C1=C(OC2=CC(=C(C=C21)C3CC3)N(CCO)S(=O)(=O)C)C4=CC=C(C=C4)F
VCH-916,CIDs11963194,VCH-916,459.64128,CC1CCC(CC1)C(=O)N(C2CCC(CC2)OC)C3=C(SC(=C3)C4=CCCCC4)C(=O)O
Lomibuvir,CIDs24798764,lomibuvir,445.6147,CC1CCC(CC1)C(=O)N(C2CCC(CC2)O)C3=C(SC(=C3)C#CC(C)(C)C)C(=O)O
PluriSln 1,CIDs00225362,PluriSln1,213.23524,C1=CC=C(C=C1)NNC(=O)C2=CC=NC=C2
5-Hydroxytryptophan,CIDs00000144,5-hydroxytryptophan,220.22458,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
Clomipramine hydrochloride,CIDs00068539,#N/A,0,#N/A
Lamotrigine,CIDs00003878,lamotrigine,256.09138,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
Proparacaine,CIDs00004935,proparacaine,294.38924,CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N
Flecainide acetate,CIDs00041022,#N/A,0,#N/A
AS-1949490,CIDs44473434,as1949490,371.88042,CC(C1=CC=CC=C1)NC(=O)C2=C(C=CS2)OCC3=CC=C(C=C3)Cl
Argatroban,CIDs00092721,argatroban,526.64942,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C.O
Glycyrrhizic acid,CIDs00014982,glycyrrhizin,822.93208,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C
BIBR-1048,CIDs09578572,dabigatran etexilate,627.73324,CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N
Ximelagatran,CIDs09574101,ximelagatran,473.5652,CCOC(=O)CNC(C1CCCCC1)C(=O)N2CCC2C(=O)NCC3=CC=C(C=C3)C(=NO)N
Dabigatran,CIDs00216210,dabigatran,471.5111,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N
E5555,CIDs10459564,atopaxar,527.627523,CCOC1=C(C(=C2C(=C1)CN(C2=N)CC(=O)C3=CC(=C(C(=C3)N4CCOCC4)OC)C(C)(C)C)F)OCC
Eltrombopag olamine,CIDs135449331,#N/A,0,#N/A
Ozagrel hydrochloride,CIDs06438130,#N/A,0,#N/A
Taltirelin,CIDs00114750,taltirelin,405.40842,CN1C(=O)CC(NC1=O)C(=O)NC(CC2=CN=CN2)C(=O)N3CCCC3C(=O)N
Monobenzone,CIDs00007638,monobenzone,200.23318,C1=CC=C(C=C1)COC2=CC=C(C=C2)O
Astragaloside A,CIDs13943299,3A592W8XKE,784.97022,CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C
Clinofibrate,CIDs00002787,clinofibrate,468.58184,CCC(C)(C(=O)O)OC1=CC=C(C=C1)C2(CCCCC2)C3=CC=C(C=C3)OC(C)(CC)C(=O)O
Ipriflavone,CIDs00003747,ipriflavone,280.31784,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3
